model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_BestOfFamily_3_AutoML_1_20240510_193306,0.8106531885215221,0.1570981922329131,0.2660616127834434,0.3501598485773197,0.2003702878811845,0.0401482522655887,981,0.015802,StackedEnsemble
StackedEnsemble_BestOfFamily_2_AutoML_1_20240510_193306,0.8102863170911913,0.1572103537332916,0.2639322346443044,0.3459987462598635,0.2004429212725717,0.0401773646882823,1312,0.009972,StackedEnsemble
StackedEnsemble_BestOfFamily_1_AutoML_1_20240510_193306,0.8101961140416593,0.1571197093133375,0.266417136816071,0.3502653505027298,0.2003471426271909,0.04013897755888,2029,0.010223,StackedEnsemble
StackedEnsemble_AllModels_1_AutoML_1_20240510_193306,0.8099644923509459,0.1573786413954786,0.2632350969219004,0.342515647350273,0.2005754268498029,0.0402305018559806,944,0.010013,StackedEnsemble
XGBoost_1_AutoML_1_20240510_193306,0.8062307715338258,0.1590403669018494,0.2537885964954246,0.3507742437557282,0.2016122217422389,0.0406474879558417,1205,0.005289,XGBoost
GBM_1_AutoML_1_20240510_193306,0.7985442379333818,0.1587155055756107,0.2626500510830574,0.3441012743908772,0.2005772103103561,0.0402312172958848,2298,0.008417,GBM
GBM_3_AutoML_1_20240510_193306,0.7866775195466443,0.1661716584356581,0.2194777382864189,0.3624120273510999,0.2045759355889761,0.0418513134221049,297,0.003652,GBM
GLM_1_AutoML_1_20240510_193306,0.7834658797231989,0.1632490736081366,0.2466949320259231,0.3717597501819689,0.2027755846390194,0.0411179377256961,528,0.001503,GLM
XGBoost_2_AutoML_1_20240510_193306,0.7830916878630125,0.1653838418211908,0.2413574743905788,0.3235843577274183,0.2033718892199103,0.0413601253248754,384,0.002208,XGBoost
GBM_4_AutoML_1_20240510_193306,0.7817467028180749,0.1663060926337833,0.2223829069021941,0.3506206792328014,0.2047126456557537,0.0419072672913782,378,0.004095,GBM
GBM_2_AutoML_1_20240510_193306,0.775300008762582,0.1698632795024522,0.2183139544406813,0.3502203860646652,0.2054985865941341,0.0422296690921868,178,0.002802,GBM
GBM_5_AutoML_1_20240510_193306,0.7486364534156906,0.1827625772775676,0.2033089687517449,0.3728365113869149,0.2106739401836773,0.0443835090725156,43,0.001336,GBM
XGBoost_3_AutoML_1_20240510_193306,0.7451438681063622,0.4799081874090484,0.2134227118515044,0.3348792326478669,0.3819149182879792,0.1458590048109138,94,0.000747,XGBoost
XRT_1_AutoML_1_20240510_193306,0.6502898506380069,0.5797919089951662,0.1419457724658423,0.4074254876201387,0.2214630853692925,0.0490458981812865,96,0.001311,DRF
DRF_1_AutoML_1_20240510_193306,0.6415023189038065,0.4912457974785496,0.1562940364618951,0.3825302410521591,0.2169658393119517,0.0470741754283396,347,0.001924,DRF
